property_id,type,property_size,property_area,area_sqyd,price,purpose,built_in_year,parking_spaces,floors,bedrooms,bathrooms,servant_quarters,kitchens,store_rooms,state,city,area,tier,population,median_monthly_income
52076578-3035-1,House,Medium (250-500),10 Marla,302.5,53000000,For Sale,2024-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51619024-3041-1,House,Medium (250-500),10 Marla,302.5,45000000,For Sale,2024-01-01,3,2,5,6,1,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51496441-3036-1,House,Large (500-1000),1 Kanal,605,117000000,For Sale,2024-01-01,3,2,5,7,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52727132-8301-1,House,Medium (250-500),10.8 Marla,326.7,46500000,For Sale,2024-01-01,2,2,4,5,1,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52736248-3048-1,House,Small (100-250),8 Marla,242,28000000,For Sale,2024-01-01,,,5,6,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52652455-14736-1,House,Medium (250-500),12 Marla,363,34000000,For Sale,2024-01-01,,,6,,,2,2,Punjab,Rawalpindi,Gulshan Abad,1,6120000,85000
49829274-3035-1,House,Large (500-1000),1 Kanal,605,119500000,For Sale,2024-01-01,,2,5,6,2,2,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52700313-3067-1,House,Small (100-250),7 Marla,211.75,31500000,For Sale,2021-01-01,1,3,5,6,1,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
47478351-3036-1,House,Large (500-1000),1 Kanal,605,99500000,For Sale,2023-01-01,2,2,6,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52679580-3048-1,House,Medium (250-500),10 Marla,302.5,35000000,For Sale,2024-01-01,,,5,6,1,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
44755090-3048-1,House,Medium (250-500),12 Marla,363,30000000,For Sale,2023-01-01,2,2,5,6,2,2,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51925806-3071-1,House,Small (100-250),8 Marla,242,37000000,For Sale,2023-01-01,,,5,6,1,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52716580-3048-1,House,Small (100-250),5 Marla,151.25,24000000,For Sale,2025-01-01,1,2,3,4,1,1,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52649999-3068-1,House,Small (100-250),7 Marla,211.75,30500000,For Sale,2025-01-01,,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52645194-16294-1,House,Medium (250-500),10 Marla,302.5,35000000,For Sale,2024-01-01,2,,5,5,,2,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52203066-3048-1,House,Medium (250-500),10 Marla,302.5,37000000,For Sale,2024-01-01,,,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52203721-3048-1,House,Medium (250-500),10 Marla,302.5,33500000,For Sale,2024-01-01,,,5,6,,2,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52598871-9155-1,House,Small (100-250),6 Marla,181.5,16000000,For Sale,2024-01-01,,2,3,4,,1,,Punjab,Rawalpindi,Airport Housing Society,1,6120000,85000
